GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
administration,com.gt.interpackage.administration.service,QueueService,19,0,0,0,5,0,4,0,4,0
administration,com.gt.interpackage.administration.service,RouteService,168,0,14,0,36,0,20,0,13,0
administration,com.gt.interpackage.administration.service,EmployeeTypeService,26,0,2,0,6,0,5,0,4,0
administration,com.gt.interpackage.administration.service,PackageService,3,0,0,0,1,0,1,0,1,0
administration,com.gt.interpackage.administration.service,FeeService,119,0,22,0,34,0,17,0,6,0
administration,com.gt.interpackage.administration.service,CheckpointService,290,0,46,0,57,0,32,0,9,0
administration,com.gt.interpackage.administration.service,EmployeeService,179,0,12,0,43,0,19,0,13,0
administration,com.gt.interpackage.administration.service,DestinationService,195,0,28,0,40,0,24,0,10,0
administration,com.gt.interpackage.administration.service,PackageCheckpointService,8,0,0,0,2,0,2,0,2,0
administration,com.gt.interpackage.administration.pk,PKPackageCheckpoint,79,0,8,0,25,0,12,0,8,0
administration,com.gt.interpackage.administration.source,Constants,3,0,0,0,1,0,1,0,1,0
administration,com.gt.interpackage.administration.source,BadRequestException,4,0,0,0,2,0,1,0,1,0
administration,com.gt.interpackage.administration,AdministrationApplication,8,0,0,0,3,0,2,0,2,0
